您好播主，想了解出工打工情况，	这块 我们不是很了解
很高兴看到您的视频，我是中国的执业中医师，专长针灸，儿子绿卡，如果儿子开中医馆聘请我做员工，什么身份比较容易申请到？我年龄55，目前B1B2，主要目的是想赶在67岁之前交到足够的社保金而能领到美国老年福利，这样达到真正的老年往来中美无忧。请问还有什么更好的建议？谢谢	留一下您的微信，我加您微信， 细聊
tangxinxm  微信号 您还没有加我微信	不好意思哈 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 我们公司作为猎头公司呢，绝大多数是在帮一些企业招比较资深的人才。主要业务不在应届毕业生，但是我也是留学生过来的，理解大家对目前找工作可能遇到一些困难和困惑，可以关注我的直播，会解答相关的问题。
还有我看的您有回复别人数据分析是个很大的坑，可以向您了解一下吗？我家女儿正好在学这个	因为工作其实会很难找 没事，读了也没办法了 到时候再想办法就好
谢谢您的解答 觉得您讲问题很真诚，我女儿今年西北大学数据分析硕士毕业，求职方面能否向您求助，谢谢☺️ 哈哈哈，不好意思，我女儿是市场营销专业学了一些数据分析，我是个粗心妈妈	市场营销！我觉得就容易多了哈，数据是我最不喜欢的专业了 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，谢谢老师	想申请公司有几种方式：
wxid_sjktfcxeiye721 谢谢回复，这是我的微信号 请问，人已经在美国有旅游签证，报名学习中医可以就地改留学签证吗？	理论上可以的，您试试看，也需要几个月时间
方便留个联系方式吗？	您可以添加我的助手，他会给您一些学校，求职等信息哈 Garysv2024
谢谢！	您好，请问希望咨询什么问题？不然我可能好友太多信息无法一一回答
求职 转业金融数学	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
美国求职。金融相关的工作 你好，你在硅谷哪个位置办公啊，有机会可以找你交流咨询	Hi您好，我们公司在Santa Clara，但是我们从疫情开始之后就一直是远程工作为主我也不太去公司 感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，有什么问题他也可以立即快速回复先哈 您好啊，我们公司在Santa Clara但是我们都是远程工作不太去公司现在 希望咨询什么问题可以私信这里先询问我哦
我孩子住在menlo park 你好，请问抽签结果是分批次通知吗？到什么时候结果	是的，分批哈，目前已知是到明天晚上，也就是3/29/2024
谢谢 如果29号还没有接到通知就是没有抽到对吗？	是的
谢谢	留一下您的微信，我加您微信， 细聊
kingzong2024	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
👌 老师:我儿子在美国读研今年8月份毕业，怎么在美国找到实习	你好，这个问题比较综合我可能哪一天开一个直播整体回答
能不能加您微信	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习方面的资源也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您 他的微信是Garysv2024
好 我觉您讲话很实在不像别的猎头	 哈哈，我其实是猎头公司的老板 我是老板，不是猎头 我从小就立志做一个坦坦荡荡的赚钱的生意人，赚什么钱要说清楚让人家知道 不要藏着掖着哈 如果实习方面我们真的可以帮到您的孩子，我们也会有收费的，但是我的助理会解释清楚，也绝对是先找到之后满意了再付，不搞培训，不洗脑，不骗人哈
不好意思 您面相好善良 我加过你推荐的微信了 收费是正常的 觉得您讲话很实在 我是想给儿子找实习	好的，您放心，我也去跟我小助手说一下，一定重点关注您的case
谢谢 您的小助手还没有通过我微信	美国现在是晚上，我还在努力工作，不能要求小伙伴工作太久哈 您放心，我留言了
好的，谢谢您 您保重身体	我也是留学生过来的，理解留学生对目前找工作可能遇到一些困难和困惑，可以让他关注我的直播，我会直播期间解答相关的问题 老乡好
他最近一直在做动物实验，比较忙，等他有空让他关注你	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？
留学生在美国创业的事情	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？
找工作。我的微信15601518801	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 ，您好，请问希望咨询什么问题？
您好，女儿现在是工签，去美国1 3年，没有身份，有什么好的办法可以解决身份问题呢，谢谢。	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 哈哈哈哈，其实我的名字是Gary，好的没问题，留一下您的微信，我加您微信， 细聊
哎呀真是不好意思名字写错了好的Gary，我的微信号是qingLtian12，感谢回复啊	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 抱歉，没有很 您是希望了解哥大生统硕士毕业后的就业方向么？还是希望找工作机会
希望找工作	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，感谢您的喜爱和认可 您可以让您女儿关注我的直播，会解答相关的毕业后专业就业选择相关问题 目前加微信好友的太多了，我可能太多信息无法一一回答 
收到！	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好关于咨询工作	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 留一下您的微信，我加您微信， 细聊
13381283385	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 我们公司作为猎头公司呢，绝大多数是在帮一些企业招比较资深的人才。但是我也是留学生过来的，理解大家对目前找工作可能遇到一些困难和困惑，可以让他关注我的直播，会解答相关的问题。
非常喜欢您的直播	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
请问您这边主要是针对美西那边吗？有没有美东地区实习介绍啊？如何收费？	我们公司作为猎头公司呢，绝大多数是在帮一些企业招比较资深的人才。但是因为我们和很多公司的HR或者创始人关系比较好，有时可以给留学生争取到一些实习机会。因为这是我们额外争取出来的机会，所以有些时候是有匹配的，有些时候是没有匹配的。如果能匹配到您这边的需求，我们可以收费推荐一些实习机会。
波士顿地区，金融数学大一学生，有校内兼职经验（学校某运动队财务+宿管+语言课助教），如有实习岗位请推荐，愿意付费，请问如何联系？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？
我姑娘本科伯克利音乐学院，现纽约大学上研，下一步咋走，想请教一下您。	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好 gary 我的 微信 banananz, 谢谢你的视频 分享，这是我的 个人微信、想和你近距离 了解 美国 生活 工作，再次 感谢	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的 谢谢	看什么学校，什么级别和什么领域
你好，我们可以加微信聊聊吗？我儿子本科是国内985，在圣路易斯上的LLM.现在在乔治华盛顿读JD，GPA3.4。想去biglaw有机会吗	LLM再到JD很厉害哈 我觉得Biglaw是有机会的，不过如果万一因为身份问题没有进去，我这里有一些华人小的律所可以先解决身份，再想办法进去Biglaw
能在小的律所解决身份是很不错了，那你们怎么收费？ 我们可以加微信吗？	其实，很多读会计的学生也一样，很优秀，想争取进四大，但是因为四大现在不太愿意支持H1B和绿卡，所以他们不得不选择去小的事务所先工作然后弄好了身份再想办法跳去四大，基本套路跟法律很像 毕竟制约华人在美国找工作的不是专业也不是名校也不是GPA，90%的影响因素其实是身份
太对了，就是身份不好解决 只要能解决了身份其实工作还是好找的 现在就是觉着进Biglaw能给解决身份 我们可以加微信具体好好聊聊吗？ 15 965090818。这是我的微信号 现在小所不给解决身份	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 有帮助哈，可以用餐馆公司给孩子申请H1B工作签证
请问H1B工作签证 排期的话 需要时间很长吗？	H1B每年抽签一次不用排气 排期 您说的排期如果是指办理人才绿卡的EB2或者EB3，那么需要5-6年 您好，请问希望咨询什么问题？
想请教您，我的儿子在美国洛杉矶大学本科，华盛顿大学硕士，申请了两年博士不知道为什么没申到，这种情况是回国好还是留下工作呢？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？不然我可能微信后台太多信息无法一一回答
咨询留学生就业	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，请问希望咨询什么问题？不然我微信可能后台太多信息无法一一回答
您好，我女儿在美国读本科，想咨询你以后职业规划和如何规划将来身份问题. 谢谢你.	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 您好，感谢您的认可，可以关注我的频道和直播，后续会出不同类型的话题，也欢迎您提供建议。
我想了解一下申请美国绿卡 您好！我儿子去年美本毕业，现在英国读研，是否有机会申请美国绿卡？	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
谢老师好，看了您的视频后建议孩子多投一些华人公司的岗位，但孩子说不知道专门去哪找华人公司投？想听听您的建议	关注我的直播，我日后会做这方面的内容的，最近有事情回国了，直播马上恢复
一直关注，每期必看	感谢您的关注和支持哈，其实找华人的公司岗位有几个不错的途径 1.	当然是可以联系我们，但是我们作为猎头很多岗位要求其实比较高不适合刚毕业的学生。我们也有一些企业的资源或许可以介绍心毕业的学生给一些企业的HR或者老板，但是这种岗位他们不会支付我们猎头费我们可能需要反过来对求职者收费 您好，请问希望咨询什么问题？不然我微信可能后台太多信息无法一一回答
找工作，今年找工作怎么这么费劲	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习方面的资源也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 今年确实费劲儿一点，考虑打开思路不要局限在自己的固有专业，或许有一些转机 您好，请问希望咨询什么问题？
您好！儿子哥大硕士毕业，找工作困难😓，求助	感谢您的喜爱和支持哈，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）我的助理也是我们公司的猎头顾问，他很细心也跟了我很多年了，实习方面的资源也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 哈哈，谢谢您的喜爱和认可 中医相关的您想咨询什么问题呢？
Gary，可以加你微信聊一下么？求微信。	哈哈，感谢您这么热情支持，对啊，如果您女儿在Meta还缺对象，咱们组个相亲局我给您我的微信吧，Garyxie2024 好的没问题，留一下您的微信，我加您微信， 细聊
18640992299 加一下微	您好，我会安排我的助理先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈） 我助理的微信是garysv2024 我也让他加您先 您好，请问希望咨询什么问题？
看了你的视频，觉得挺好。孩子今年可能会去美国读本科，主要看学校录取了。现在有俄亥俄州立大学、纽约州立大学石溪分校、多大、麦吉尔、爱丁堡、墨尔本等。所以想多了解美国的学习、未来发展等	感谢您的信息，但是我并不是做留学咨询服务 我比较擅长其实是它毕业后在美国的规划
Gary您好，回国呆多长时间呢？一直在福建吗？想看看有没有机会见面呢？	不好意思，我已经回来了，这次回去探望家人而已 Hi，不好意思，我这几天回到安溪 我的微信是Garyxiejienan
钱转美国最省税办法？	可能是建立分公司
Gary老师您好	您好，请问希望咨询什么问题？
我在卡耐基梅隆硅谷校区读硕士，专业方向是product management，请问您在pm这个方向的岗位有了解吗？	我是了解的，我们也有不少PM岗位需求但是都需要五年以上经验 现在刚刚毕业的可能不符合我们客户需求
我目前在寻找的是pm实习岗位，目标是创业公司或者中小型公司，实在不行unpaid也可以，只在寻找一个机会，我自己本身是有三段pm实习经历 这种目标在您的范围内吗？	这种服务我可以通过我的人脉帮你推荐到一些比较不错的硅谷startup 但是我需要在你选定，通过面试，且最终愿意去接offer之后收费 5000-10000美金之间 我倒是有一两家VC，PE，以及一家AI软件公司可以给你了解一下
可以加微信了解一下吗？ 我的wx：chrisloulc 如果能进的话都好说 老师您好，请问能加个微信进一步沟通吗？	好的，我加你哈 您好，请问希望咨询什么问题？
孩子是冷泉港实验室基因组学刚毕业的博士，想咨询一下找工作的情况、请告知一下联系方式，他一般不用微信。谢谢	收到，那么您可以让他邮件联系我 gary@flyhightalent.com
好的谢谢 Gary你好，我妈妈一直关注Leo直播，有一期看到了你的分享觉得非常有帮助就推荐给我了。我现在是美本毕业2个月了，过去半年一直在找美国的工作但是都没有offer。这周开始使用失业期，但是还是想尽量能少用就少用，万一哪天真失业了就没的用了。想问一下您那边有靠谱的公司可以用opt做一些类似volunteer的工作保住失业期吗	当然有哈，我给你保底 加我微信吧，记得截图聊天记录不然我不知道你是谁哈 garyxiejienan
好的 谢谢 我加你	老乡好 感谢您的关注和支持。 是的，美国的文化和环境的确有不少 理解大家对目前来美国可能遇到一些困难和困惑，可以关注我的直播，我直播的时候会解答相关的问题。 或者私信留言也可以，近期加微信好友的太多了，后台太多信息可能无法一一回答
好的好的 谢谢您 我会保持关注，等临近要去美国再联系 我从小也是在凤城镇长大的在龙湖林美花园，可惜年后回上海了，无法在安溪线下见网友	哈哈，没事，世界很大也很小 咱们可以先加个微信，我上星期刚刚从安溪回来 garyxiejienan
好的！确实是很大又很小，谢谢你	我真的不是打广告您可以查一下硅谷河洛中医大学，还有很多别的学校您也可以参考一下
好的，谢谢回复 我们在美东，去硅谷也太远了	美东应该也有类似学校 您可以google找一下
嗯，是的，应该有 我也是福建的，孩子本科麦吉尔研究生申了美国，她想留下来，好像很难	感谢您的关注和支持。是的，现在美国的文化和环境的确有一些不同对刚毕业的留学生非常不友好，后台私信我的很多爸爸妈妈的孩子都是这种情况。
昨晚跟女儿讨论我们普通家庭花100W读哥大金融硕士值不值得。 我是支持的，女儿不那么同意	读完就回国的话还好，找工作可能100W不够 基本上哥大金融很水 所以毕业后不容易找到金融工作的
本科数学G点3.88，考虑哥大金工金数，不是金融还是佐治亚理工金工	老乡你好 我们不是留学咨询这个领域的哈，我是猎头啦。
哦哦，好棒	哈哈，谢谢您的喜爱和鼓励。
我孩子在美国圣路易斯市一家投行工作，刚入职不久，这家公司不给抽工作签，请问您能帮忙或指点下吗，想今年抽，我也把您的视频推给孩子了	您好，今年抽可能还有最后一天 您加我微信吧 不好意思，之前回泉州没看到 garyxiejienan 当然可以，叫做河洛中医大学，当然还有很多别的学校您也可以去了解一下。您可以到了圣荷塞约时间去他们这个学校参观看看 还有什么五系
好的，非常感谢！我查一下他们的地址！ 能否告诉我一下河洛中医大学的地址吗？我Google地图上搜不到河洛大学地址谢谢你啦！添麻烦了	没问题 https://cusv.edu
谢谢	哈哈，谢谢您的喜爱和鼓励。 可以关注我的频道和直播，后续会出不同类型的话题，也欢迎您提供建议
最近没有看到视频更新，直播在那里有啊 可以加微信关注吗？	哈哈，我在申请视频号直播权限 谢谢您关注 可以直播的时候现场聊！ 如果变成留学生签证，可以留在美国读书2-3年 公立学校的工作确实可以做non cap H1B，不用抽签
怎么和您联系？想为儿子换工作问题咨询您？	可以关注我的直播，我平时其实不做职业咨询，换工作这种，不好意思哈
老师您好，我是近期纽大卡耐基梅隆毕业生。现在在香港安永工作，希望了解一下加州的工作机会。我是加拿大国籍所以需要TN签证谢谢	收到！很不错的履历 我们可以聊聊看机会 garyxiejienan
你好，看了您的视频，觉得对一个初到美国的人得到很好的启示，可以互相关注认识一下吗？我现在国内，先生是美国的，如果顺利的话今年应该可以到达美国，所以我想认识一些像您这样愿意分享的国内的华人朋友	当然，谢谢Vivian 您好，请问希望咨询什么问题？
我八月份来美国参加女儿AI博士 毕业典礼  且留在硅谷陪女儿 女儿已入职硅谷一家公司 我在中国是一家大型国企子公司cfo 今年九月退休。英语八千词汇量  口语听力一般能够简单交流 湖南大学在职研究生 全国首届 MPAcc 会计硕士。女性 请您帮助我 我要是来硅谷 可以考取哪些证 获得一份啥工作？ 您可以帮帮我指明方向吗？	收到，感谢您的分享，您也是一位优秀的妈妈！ 请问您来美国后的身份有绿卡吗？
小孩子在申请绿卡 我暂时没有 希望考个经济相关工作的证件 不知道是否可行 不知道哪些证适合我这水平考试  请教您 我来后会来立即拜访您！ 现在想请您指导我 我在国内几个月做一些准备和储备！拜托您！	理论上，CPA会合适您多一点 财务来了美国还是有优势的
CPA报考需要什么资格呢？ 我是湖南大学 MPAcc 硕士学位   有资格吗？	需要先修够美国的会计学分 您可以要去查一下，或者找专业培训机构，我当年在美国本科读会计，最后也没有符合考CPA条件
那我肯定走不通！谢谢您百忙之中耐心回复我信息！ 房产中介资格证可以考吗 要修学分吗？	https://zhuanlan.zhihu.com/p/105508682?utm_id=0 您看看 如果学校很好，专业水平很高，英文沟通能力不错的话 公民过来cs还是可以的
东北大学硅谷分校 cs专业硕士 明年毕业 今年想找实习在硅谷好找吗 你们能帮忙给找大厂实习的岗位吗？ 英语沟通没问题 因为在本科学得不是cs专业 是商科 所以不知道在美国招聘公司是不是像国内一样看第一学历？ 美高 美本 美硕	大厂我们无法帮助，我们的猎头合作客户都是中小创业公司 美高很厉害 他这种情况不太需要帮助其实，花点时间找人内推 但是现在行情不好，可以在等一下 东北大CS还是可以的在硅谷
好的 我问问我儿子如果需要的话 让他联系你们！谢谢！	感谢关注，没关系，平时有空还可以听听直播看看视频
好的	garyxiejienan-1
Gary：您好！我住广州，今年50多，前期是省直公务员，后期自己管理祖上物业。现退休了。98，99年曾带着读小学的儿子两年暑假两次赴美探亲，伯父一家就在旧金山圣河西，我父亲是归侨。硅谷工作的广州人陈莹（先生许越）是我表妹，张鹏是朋友，当年看过他们，后来因为忙联系少了。我了解美国的强大先进，向往日后能在美陪孙子读书，因此想自己一人先美移。我研究生毕业，最早读过护士专业，后来读生物专业，研究生读的是经济学专业，在省人大，省政府，省委都工作过。因为年龄大了，想尽快美移，近期几位移民顾问联系我说可以EB5，但我觉得此事请您帮忙更靠谱。您已替父母规划了美移，想必对各项政策更了解。祈请能得到您的帮助。谢谢！	感谢您的信任 您家我的微信之后，我直接跟您语音聊聊 您记得截图这段给我就好哈 您好，在美国开餐馆需要先注册公司，获得营业执照，以及通过其他卫生、消防等的检查，拿到食品、酒类（如有）的许可，并配备保险和员工培训。如果有兴趣可以加我微信
我的微信号是13812671163	好的，我加您哈 您好，请问希望咨询什么问题？
老师您好，今天看到回复，谢谢您。 我小孩美本数学专业，现纽大研一信息科学专业。想今年暑假找份实习，秋招、春招投了几百份简历，都没有收到面试通知。想听听老师的建议？	今年确实行情不好，大家都是这样的您不用担心 或许可以回国实习，明年毕业了再考虑找工作
感谢老师回复 孩子的签证今年6月到期，暑假回来了，又要准备60万签证存款证明。签证会不会被卡，也不知道。左右为难…… 老师，国内的远程实习，对孩子毕业找工作有没有帮助。谢谢您！	帮助不大 我倒是可能可以收费帮您安排美国的人工智能软件公司实习机会，但是也有费用。国内的实习聊胜于无就是了，如果是国内大公司也不错
谢谢老师回复 我想问问，您大概收取多少费用？谢谢！ 老师打扰了，可以加您微信吗？您贵姓？怎么称呼您？非常感谢您在百忙之中抽空回复。	您客气了，我的收费一般在5000-10000美金之间安排一份实习，我不会做培训 您可以加我的微信先，我现在在等飞机回美国 garyxiejienan
老师，我加您了，麻烦您确认一下，谢谢老师	哈哈，谢谢您的喜爱和鼓励。可以关注我的频道和直播，后续会出不同类型的话题，也欢迎您提供建议
谢谢，以后有不解会向您请教 冒昧请问能加您微信吗？谢谢 谢先生您好，再次打扰您，冒昧了。请问能跟您详聊吗？想向您请教一下我侄女的事情。我侄女目前就读范德堡数据科学研一，面临着明年严峻的留美找工作难题，侄女聪慧好学很优秀。但是这几年美国的就业局势很严峻，特别是征对国际生更是不利。就连暑期实习侄女在投出一百多份简历后虽然有二十来家企业给予了面试的机会，但是一发现她是国际生就没有了下文。她为此很焦虑，不知道能与您进一步交流向您请教一下吗？万分感激 这是侄女的简历基本情况，辛苦您了，万分感激	唉… 统计现在确实非常难找到工作，数据分析也很难 我或许可以帮她安排一份硅谷软件科技创业公司没有薪资的实习机会 但是我也会对她收费因为企业不会付费给我去招募实习生，您考虑看看是否回使用我的服务。我也只能给她一个学习的机会，工作真的会很难
